Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;denominazione_pe;insegna;superficie_somministrazione;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
PE/25807;Via SOLFERINO N. 42 (z.d. 1);SOMMINISTRAZIONE - In piano;Via SOLFERINO;42;1028.0;f - Bar caffè e simili;;26.0;20121.0;2.0;BRERA;1.0;9.18840709193;45.4784870472;45.4784870472, 9.18840709193
PE/26185;Via CORRIDONI FILIPPO N. 10 (z.d. 1);SOMMINISTRAZIONE - In piano;Via CORRIDONI FILIPPO;10;3020.0;e - Bar gastronomici e simili;;25.0;20122.0;4.0;GUASTALLA;1.0;9.20100529853;45.463347096;45.463347096, 9.20100529853
PE/26187;VIA DE AMICIS EDMONDO N. 4 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA DE AMICIS EDMONDO;4;703.0;a - Ristorante, trattoria, osteria con cucina e simili;;156.0;20121.0;2.0;BRERA;1.0;9.18173635775;45.4716204823;45.4716204823, 9.18173635775
PE/26189;Via IMBONATI CARLO N. 43 (z.d. 9);SOMMINISTRAZIONE - In piano;Via IMBONATI CARLO;43;1311.0;c - Tavole calde,self service, fast food e simili;;100.0;20158.0;79.0;DERGANO;9.0;9.18191115871;45.5018237101;45.5018237101, 9.18191115871
PE/26456;Via VARESE N. 4 (z.d. 1);SOMMINISTRAZIONE - In piano;Via VARESE;4;1031.0;e - Bar gastronomici e simili|f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili|h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;55.0;20121.0;2.0;BRERA;1.0;9.18456638294;45.4788243616;45.4788243616, 9.18456638294
PE/25514;VIA SETTALA LODOVICO N. 9 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA SETTALA LODOVICO;9;2111.0;f - Bar caffè e simili;;50.0;20124.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.20362065956;45.4778672058;45.4778672058, 9.20362065956
PE/24445;Viale BLIGNY N. 26 (z.d. 5);SOMMINISTRAZIONE - In piano;Viale BLIGNY;26;4045.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;26.0;20136.0;5.0;VIGENTINA;5.0;9.19076216885;45.4508054045;45.4508054045, 9.19076216885
PE/26154;Via CLERICI N. 1 (z.d. 1);SOMMINISTRAZIONE - In piano;Via CLERICI;1;114.0;a - Ristorante, trattoria, osteria con cucina e simili;;99.0;20121.0;2.0;BRERA;1.0;9.18755365685;45.4664867887;45.4664867887, 9.18755365685
PE/25974;Via PIANELL SALVATORE N. 45 (z.d. 9);SOMMINISTRAZIONE - In piano;Via PIANELL SALVATORE;45;1426.0;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;17.0;20125.0;13.0;GRECO;9.0;9.20324621799;45.5077517612;45.5077517612, 9.20324621799
PE/24919;Corso VENTIDUE MARZO N. 25 (z.d. 4);SOMMINISTRAZIONE - In piano;Corso VENTIDUE MARZO;25;3074.0;c - Tavole calde,self service, fast food e simili|f - Bar caffè e simili;;58.0;20129.0;26.0;XXII MARZO;4.0;9.21284375321;45.4623796789;45.4623796789, 9.21284375321
PE/25809;Via PIERO DELLA FRANCESCA N. 34 (z.d. 8);SOMMINISTRAZIONE - In piano;Via PIERO DELLA FRANCESCA;34;7188.0;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;59.0;20154.0;69.0;SARPI;8.0;9.16429826825657;45.4837450083368;45.4837450083368, 9.16429826825657
C-PE/2925;VIA PIOPPETTE N. 3|via pioppette 003| isolato:214| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;VIA PIOPPETTE;3;703.0;a - Ristorante, trattoria, osteria con cucina e simili;exploit;124.0;20121.0;2.0;BRERA;1.0;9.18188424512;45.4713327987;45.4713327987, 9.18188424512
